text,read_code,read_term
Poisoning by phenindione,SL422,Phenindione poisoning
Poisoning by vitamin K,SL43.,Vitamin K poisoning
Poisoning by fibrinolysis-affecting drug,SL44.,Fibrinolytic drug poisoning
Poisoning by aminocaproic acid,SL440,Aminocaproic acid poisoning
Poisoning by streptodornase,SL441,Streptodornase poisoning
Poisoning by streptokinase,SL442,Streptokinase poisoning
Poisoning by urokinase,SL443,Urokinase poisoning
Poisoning by anticoagulant antagonist,SL45.,Anticoagulant agonist poisoning
Poisoning by hexadimethrine,SL450,Hexadimethrine poisoning
Poisoning by protamine sulfate,SL451,Protamine sulphate poisoning
Poisoning by natural blood AND/OR blood product,SL47.,Natural blood and blood product poisoning
Poisoning by natural blood,SL47.,Natural blood and blood product poisoning
Poisoning by blood product,SL47.,Natural blood and blood product poisoning
Poisoning by blood plasma,SL470,Blood plasma poisoning
Poisoning by human fibrinogen,SL471,Human fibrinogen poisoning
Poisoning by packed red cells,SL472,Packed red cell poisoning
Poisoning by whole blood,SL473,Whole blood poisoning
Poisoning by agent primarily affecting blood constituent,SL4y.,Other blood agent poisoning
Poisoning by macromolecular blood substitute,SL4y0,Macromolecular blood substitute poisoning
Poisoning by plasma expander,SL4y1,Plasma expander poisoning
"Poisoning by analgesic, antipyretic AND/OR antirheumatic",SL5..,"Analgesic, antipyretic and antirheumatic drug poisoning"
Antipyretic poisoning,SL5..,"Analgesic, antipyretic and antirheumatic drug poisoning"
Poisoning by opiate AND/OR related narcotic,SL50.,Opiate and narcotic poisoning
Poisoning by heroin,SL501,Heroin poisoning
Poisoning by methadone,SL502,Methadone poisoning
Poisoning by codeine,SL503,Codeine (methylmorphine) poisoning
Poisoning by meperidine,SL504,Meperidine (pethidine) poisoning
Poisoning by morphine,SL505,Morphine poisoning
Poisoning by salicylate,SL51.,Salicylate poisoning
Acetanilide poisoning,SL520,Acetanilide poisoning
Poisoning caused by paracetamol,SL521,Paracetamol poisoning
Phenacetin poisoning,SL522,Phenacetin poisoning
Pyrazole derivative poisoning,SL53.,Pyrazole derivative poisoning
Oxyphenbutazone poisoning,SL53.,Pyrazole derivative poisoning
Aminophenazone poisoning,SL530,Aminophenazone poisoning
Poisoning by phenylbutazone,SL531,Phenylbutazone poisoning
Poisoning by antirheumatic,SL54.,Antirheumatic poisoning
Poisoning by gold salt,SL540,Gold salt poisoning
Poisoning by indomethacin,SL541,Indomethacin poisoning
Ibuprofen poisoning,SL542,Ibuprofen poisoning
Naproxen poisoning,SL543,Naproxen poisoning
Pyrabital poisoning,SL5x0,Pyrabital poisoning
Poisoning by analgesic AND/OR antipyretic,SL5y.,Other analgesic and antipyretic poisoning
Poisoning by pentazocine,SL5y0,Pentazocine poisoning
Anticonvulsant and antiParkinsonian drug poisoning,SL6..,Anticonvulsant and antiParkinsonian drug poisoning
Oxazolidine derivative poisoning,SL60.,Oxazolidine derivative poisoning
Paramethadione poisoning,SL600,Paramethadione poisoning
Trimethadione poisoning,SL601,Trimethadione poisoning
Hydantoin derivative poisoning,SL61.,Hydantoin derivative poisoning
Poisoning by phenytoin,SL610,Phenytoin poisoning
Poisoning by succinimide,SL62.,Succinimide poisoning
Poisoning by ethosuximide,SL620,Ethosuximide poisoning
Poisoning by phensuximide,SL621,Phensuximide poisoning
Poisoning by primidone,SL6x0,Primidone poisoning
Poisoning by carbamazepine,SL6x1,Poisoning by carbamazepine
Bromocriptine poisoning,SL6y.,Antiparkinsonism drug poisoning
Poisoning by anti-parkinsonism drug,SL6y.,Antiparkinsonism drug poisoning
Selegiline poisoning,SL6y.,Antiparkinsonism drug poisoning
Decarboxylase inhibitor poisoning,SL6y.,Antiparkinsonism drug poisoning
Lysuride poisoning,SL6y.,Antiparkinsonism drug poisoning
Poisoning by amantadine,SL6y0,Amantadine poisoning
Poisoning by ethopropazine,SL6y1,Ethopropazine poisoning
Poisoning by levodopa,SL6y2,Levodopa (L-dopa) poisoning
Poisoning by iminostilbenes,SL6y3,Poisoning by iminostilbenes
Methyprylone poisoning,SL7..,Sedative and hypnotic drug poisoning
Zopiclone poisoning,SL7..,Sedative and hypnotic drug poisoning
Poisoning by sedative AND/OR hypnotic,SL7..,Sedative and hypnotic drug poisoning
Zolpidem poisoning,SL7..,Sedative and hypnotic drug poisoning
Poisoning by carbromal derivative,SL7..,Sedative and hypnotic drug poisoning
Chloral sedative poisoning,SL7..,Sedative and hypnotic drug poisoning
Buspirone poisoning,SL7..,Sedative and hypnotic drug poisoning
Chlormezanone poisoning,SL7..,Sedative and hypnotic drug poisoning
Poisoning by barbiturate,SL70.,Barbiturate poisoning
Poisoning by amobarbital,SL700,Amylobarbitone poisoning
Poisoning by barbital,SL701,Barbitone poisoning
Poisoning by butabarbital,SL702,Butabarbitone poisoning
Poisoning by pentobarbital,SL703,Pentobarbitone poisoning
Poisoning by phenobarbital,SL704,Phenobarbitone poisoning
Poisoning by secobarbital,SL705,Quinalbarbitone poisoning
Poisoning by chloral hydrate,SL71.,Chloral hydrate poisoning
Poisoning by paraldehyde,SL72.,Paraldehyde poisoning
Polybrominated biphenyl poisoning,SL73.,Bromine compound poisoning
Bromine compound poisoning,SL73.,Bromine compound poisoning
Bromide poisoning,SL730,Bromide poisoning
Carbromal poisoning,SL731,Carbromal poisoning
Methaqualone poisoning,SL74.,Methaqualone compound poisoning
Glutethimide poisoning,SL75.,Glutethimide poisoning
Poisoning by mixed sedative,SL76.,Mixed sedative poisoning NEC
Central nervous system depressants and anaesthetic agent poisoning,SL8..,Central nervous system depressants and anaesthetic poisoning
Poisoning by central nervous system muscle tone depressant,SL80.,Central nervous system muscle-tone depressant poisoning
Carbamate poisoning,SL800,Carbamate poisoning
Methocarbamol poisoning,SL801,Methocarbamol poisoning
Mephenesin poisoning,SL802,Mephensin poisoning
Poisoning by halothane,SL81.,Halothane poisoning
Poisoning by gaseous anesthetic,SL82.,Other gaseous anaesthetic agent poisoning
Poisoning by ether,SL820,Ether poisoning
Poisoning by nitrous oxide,SL821,Nitrous oxide poisoning
Propofol poisoning,SL83.,Intravenous anaesthetic poisoning
Poisoning by intravenous anesthetic,SL83.,Intravenous anaesthetic poisoning
Etomidate poisoning,SL83.,Intravenous anaesthetic poisoning
Poisoning by ketamine,SL830,Ketamine poisoning
Poisoning by methohexital,SL831,Methohexitone poisoning
Poisoning by thiopental sodium,SL832,Thiopental sodium poisoning
General anesthetic drug poisoning,SL84.,Other general anaesthetic agent poisoning
Prilocaine poisoning,SL85.,Topical and infiltration anaesthetic agent poisoning
Local anaesthetic toxicity,SL85.,Topical and infiltration anaesthetic agent poisoning
Oxybuprocaine poisoning,SL85.,Topical and infiltration anaesthetic agent poisoning
Proxymetacaine poisoning,SL85.,Topical and infiltration anaesthetic agent poisoning
Poisoning by cocaine,SL850,Cocaine poisoning
Poisoning by crack cocaine,SL850,Cocaine poisoning
Poisoning by lidocaine,SL851,Lignocaine poisoning
Poisoning by procaine,SL852,Procaine poisoning
Poisoning by tetracaine,SL853,Tetracaine poisoning
Poisoning by peripheral nerve AND/OR plexus-blocking anesthetic,SL86.,Peripheral nerve and plexus-blocking anaesthetic poisoning
Poisoning by spinal anesthetic,SL87.,Spinal anaesthetic poisoning
Doxepin poisoning,SL90.,Antidepressant poisoning
Tetracyclic antidepressant drug poisoning,SL90.,Antidepressant poisoning
Sulpiride poisoning,SL90.,Antidepressant poisoning
Lofepramine poisoning,SL90.,Antidepressant poisoning
Trimipramine poisoning,SL90.,Antidepressant poisoning
Nortriptyline poisoning,SL90.,Antidepressant poisoning
Viloxazine poisoning,SL90.,Antidepressant poisoning
Maprotiline poisoning,SL90.,Antidepressant poisoning
Tricyclic antidepressant poisoning,SL90.,Antidepressant poisoning
Clomipramine poisoning,SL90.,Antidepressant poisoning
Mianserin poisoning,SL90.,Antidepressant poisoning
Venlafaxine poisoning,SL90.,Antidepressant poisoning
Desipramine poisoning,SL90.,Antidepressant poisoning
Poisoning by antidepressant,SL90.,Antidepressant poisoning
Butriptyline poisoning,SL90.,Antidepressant poisoning
Lithium poisoning,SL90.,Antidepressant poisoning
Trazodone poisoning,SL90.,Antidepressant poisoning
Dosulepin poisoning,SL90.,Antidepressant poisoning
Iprindole poisoning,SL90.,Antidepressant poisoning
Protriptyline poisoning,SL90.,Antidepressant poisoning
Poisoning by amitriptyline,SL900,Amitriptyline poisoning
Poisoning by imipramine,SL901,Imipramine poisoning
Moclobemide poisoning,SL902,Monoamine oxidase inhibitor poisoning
Iproniazid poisoning,SL902,Monoamine oxidase inhibitor poisoning
Poisoning by monoamine oxidase inhibitor,SL902,Monoamine oxidase inhibitor poisoning
Isocarboxazid poisoning,SL902,Monoamine oxidase inhibitor poisoning
Tranylcypromine poisoning,SL902,Monoamine oxidase inhibitor poisoning
Phenelzine poisoning,SL902,Monoamine oxidase inhibitor poisoning
Poisoning by phenothiazine-based tranquilliser,SL91.,Phenothiazine poisoning
Poisoning by chlorpromazine,SL910,Chlorpromazine poisoning
Poisoning by fluphenazine,SL911,Fluphenazine poisoning
Poisoning by prochlorperazine,SL912,Prochlorperazine poisoning
Poisoning by promazine,SL913,Promazine poisoning
Poisoning by butyrophenone-based tranquilliser,SL92.,Butyrophenone poisoning
Poisoning by haloperidol,SL920,Haloperidol poisoning
Spiperone poisoning,SL921,Spiperone poisoning
Poisoning by trifluperidol,SL922,Trifluperidol poisoning
Thioxanthene poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Risperidone poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Pipothiazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Remoxipride poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Diphenylbutylpiperidine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Poisoning by anti-psychotic agent,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Pericyazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Pimozide poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Perphenazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Oxypertine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Zuclopenthixol decanoate poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Trifluoperazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Poisoning by tranquilizer,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Poisoning by psychotropic agent,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Thioridazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Phenothiazine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Flupenthixol poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Flupenthixol decanoate poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Fluspirilene poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Fluvoxamine poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Zuclopenthixol poisoning,SL93.,Other antipsychotics/neuroleptics/tranquilliser poisoning
Alprazolam poisoning,SL94.,Benzodiazepine poisoning
Triazolam poisoning,SL94.,Benzodiazepine poisoning
Midazolam poisoning,SL94.,Benzodiazepine poisoning
Loprazolam poisoning,SL94.,Benzodiazepine poisoning
Ketazolam poisoning,SL94.,Benzodiazepine poisoning
Clonazepam poisoning,SL94.,Benzodiazepine poisoning
Bromazepam poisoning,SL94.,Benzodiazepine poisoning
Prazepam poisoning,SL94.,Benzodiazepine poisoning
Potassium clorazepate poisoning,SL94.,Benzodiazepine poisoning
Flunitrazepam poisoning,SL94.,Benzodiazepine poisoning
Lormetazepam poisoning,SL94.,Benzodiazepine poisoning
Poisoning by benzodiazepine-based tranquilizer,SL94.,Benzodiazepine poisoning
Oxazepam poisoning,SL94.,Benzodiazepine poisoning
Poisoning by chlordiazepoxide,SL940,Chlordiazepoxide poisoning
Poisoning by diazepam,SL941,Diazepam poisoning
Poisoning by flurazepam,SL942,Flurazepam poisoning
Poisoning by lorazepam,SL943,Lorazepam poisoning
Poisoning by medazepam,SL944,Medazepam poisoning
Poisoning by nitrazepam,SL945,Nitrazepam poisoning
Poisoning by temazepam,SL946,Poisoning by temazepam
Hydroxyzine poisoning,SL950,Hydroxyzine poisoning
Poisoning by meprobamate,SL951,Meprobamate poisoning
Poisoning by psychodysleptic,SL96.,Hallucinogen poisoning
Poisoning by psilocin,SL96.,Hallucinogen poisoning
Phencyclidine poisoning,SL96.,Hallucinogen poisoning
Poisoning by cannabis derivative,SL960,Cannabis poisoning
Poisoning by lysergide,SL961,Lysergide (LSD) poisoning
Poisoning by mescaline,SL963,Mescaline poisoning
Poisoning by psilocybin,SL964,Psilocybin poisoning
Poisoning by psychostimulant,SL97.,Psychostimulant poisoning
Poisoning by amphetamine,SL970,Amphetamine poisoning
Poisoning by caffeine,SL971,Caffeine poisoning
Ecstasy poisoning,SL972,Ecstasy poisoning
Poisoning by central nervous system stimulant,SLA..,Central nervous system stimulant poisoning
Lobeline poisoning,SLA00,Lobeline poisoning
Poisoning by nikethamide,SLA01,Nikethamide poisoning
Poisoning by opiate antagonist,SLA1.,Opiate antagonist poisoning
Poisoning by levallorphan,SLA10,Levallorphan poisoning
Poisoning by nalorphine,SLA11,Nalorphine poisoning
Poisoning by naloxone,SLA12,Naloxone poisoning
Poisoning by autonomous nervous system drug,SLB..,Autonomic nervous system drug poisoning
Nicotine sulphate poisoning,SLB..,Autonomic nervous system drug poisoning
Nicotine poisoning,SLB..,Autonomic nervous system drug poisoning
Metoclopramide poisoning,SLB..,Autonomic nervous system drug poisoning
Droperidol poisoning,SLB..,Autonomic nervous system drug poisoning
Domperidone poisoning,SLB..,Autonomic nervous system drug poisoning
Antispasmodic poisoning,SLB..,Autonomic nervous system drug poisoning
Poisoning by parasympathomimetic drug,SLB0.,Parasympathomimetic poisoning
Poisoning by acetylcholine,SLB00,Acetylcholine poisoning
Poisoning by organophosphorus anticholinesterase,SLB01,Anticholinesterase poisoning
Poisoning by anticholinesterase,SLB01,Anticholinesterase poisoning
Poisoning by reversible anticholinesterase,SLB01,Anticholinesterase poisoning
Poisoning by pilocarpine,SLB02,Pilocarpine poisoning
Parasympatholytic poisoning,SLB1.,Parasympatholytic and spasmolytic poisoning
Parasympatholytic and spasmolytic poisoning,SLB1.,Parasympatholytic and spasmolytic poisoning
Poisoning by homatropine,SLB11,Homatropine poisoning
Poisoning by hyoscine,SLB12,Hyoscine poisoning
Accidental poisoning by quaternary ammonium derivatives,SLB13,Quaternary ammonium derivative poisoning
Alpha-adrenoceptor agonist poisoning,SLB2.,Sympathomimetic poisoning
Poisoning by sympathomimetic drug,SLB2.,Sympathomimetic poisoning
Salbutamol poisoning,SLB2.,Sympathomimetic poisoning
Beta-adrenoceptor agonist poisoning,SLB2.,Sympathomimetic poisoning
Poisoning by adrenaline,SLB20,Adrenalin poisoning
Poisoning caused by norepinephrine,SLB21,Noradrenalin poisoning
Poisoning by antiadrenergic drug,SLB3.,Sympatholytic poisoning
Poisoning by phenoxybenzamine,SLB30,Phenoxybenzamine poisoning
Poisoning by tolazoline hydrochloride,SLB31,Tolazoline hydrochloride poisoning
Poisoning by cardiovascular system drug,SLC..,Cardiovascular drug poisoning
Cardiac inotropic agent poisoning,SLC..,Cardiovascular drug poisoning
Poisoning by cardiac rhythm regulator,SLC0.,Cardiac rhythm drug poisoning
Amiodarone poisoning,SLC0.,Cardiac rhythm drug poisoning
Disopyramide poisoning,SLC0.,Cardiac rhythm drug poisoning
Poisoning by practolol,SLC00,Practolol poisoning
Poisoning by procainamide,SLC01,Procainamide poisoning
Poisoning by propranolol,SLC02,Propranolol poisoning
Poisoning by quinidine,SLC03,Quinidine poisoning
Poisoning by beta-adrenergic blocking drug,SLC04,Beta blocker poisoning
Poisoning by digitalis glycoside,SLC1.,Cardiac glycoside poisoning
Poisoning by cardiotonic glycoside,SLC1.,Cardiac glycoside poisoning
Poisoning by digoxin,SLC10,Digoxin poisoning
Strophanthin poisoning,SLC12,Strophanthin poisoning
Poisoning by antilipaemic AND/OR antiarteriosclerotic drug,SLC2.,Antilipaemic and antiarteriosclerotic poisoning
Poisoning by nicotinic acid derivative,SLC21,Nicotinic acid derivative poisoning
Ganglion-blocker poisoning,SLC3.,Ganglion-blocker poisoning
Pentamethonium bromide poisoning,SLC30,Pentamethonium bromide poisoning
Poisoning by coronary vasodilator,SLC4.,Coronary vasodilator poisoning
Poisoning by dipyridamole,SLC40,Dipyridamole poisoning
Poisoning by nitrate vasodilator,SLC41,Nitrate poisoning
Poisoning by nitrite,SLC42,Nitrite poisoning
Poisoning by vasodilator,SLC5.,Other vasodilator poisoning
Hydralazine poisoning,SLC5.,Other vasodilator poisoning
Peripheral/cerebral vasodilator poisoning,SLC5.,Other vasodilator poisoning
Poisoning by nitroglycerin,SLC5.,Other vasodilator poisoning
Poisoning by cyclandelate,SLC50,Cyclandelate poisoning
Poisoning by diazoxide,SLC51,Diazoxide poisoning
Papaverine poisoning,SLC52,Papaverine poisoning
Poisoning by clonidine,SLC60,Clonidine poisoning
Poisoning by guanethidine,SLC61,Guanethidine poisoning
Reserpine poisoning,SLC62,Reserpine poisoning
Poisoning by angiotensin-converting-enzyme inhibitors,SLC64,Poisoning by angiotensin-converting-enzyme inhibitors
Antivaricose drug poisoning,SLC7.,Antivaricose drug poisoning
Sodium morrhuate poisoning,SLC70,Sodium morrhuate poisoning
Zinc salt poisoning,SLC71,Zinc salt poisoning
Capillary-active drug poisoning,SLC8.,Capillary-active drug poisoning
Adrenochrome poisoning,SLC80,Adrenochrome poisoning
Poisoning by metaraminol,SLC81,Metaraminol poisoning
Poisoning by calcium-channel blockers,SLC9.,Poisoning by calcium-channel blockers
5-aminosalicylic acid poisoning,SLD..,Gastrointestinal agent poisoning
Poisoning by gastrointestinal system drug,SLD..,Gastrointestinal agent poisoning
Motility stimulant poisoning,SLD..,Gastrointestinal agent poisoning
Cisapride poisoning,SLD..,Gastrointestinal agent poisoning
Bile agent poisoning,SLD..,Gastrointestinal agent poisoning
Carbenoxolone poisoning,SLD..,Gastrointestinal agent poisoning
Lansoprazole poisoning,SLD0.,Anti-gastric acid drug poisoning
Poisoning by antacid AND/OR antigastric secretion drug,SLD0.,Anti-gastric acid drug poisoning
Proton pump inhibitor poisoning,SLD0.,Anti-gastric acid drug poisoning
Poisoning by aluminum hydroxide,SLD00,Aluminium hydroxide poisoning
Poisoning by magnesium trisilicate,SLD01,Magnesium trisilicate poisoning
Poisoning by histamine H2-receptor antagonists,SLD02,Poisoning by histamine H2-receptor antagonists
Nizatidine poisoning,SLD02,Poisoning by histamine H2-receptor antagonists
Famotidine poisoning,SLD02,Poisoning by histamine H2-receptor antagonists
Ranitidine poisoning,SLD02,Poisoning by histamine H2-receptor antagonists
Danthron poisoning,SLD1.,Irritant cathartic poisoning
Senna poisoning,SLD1.,Irritant cathartic poisoning
Poisoning by irritant cathartic,SLD1.,Irritant cathartic poisoning
Anthraquinone laxative poisoning,SLD1.,Irritant cathartic poisoning
Cascara poisoning,SLD1.,Irritant cathartic poisoning
Sodium picosulfate poisoning,SLD1.,Irritant cathartic poisoning
Poisoning by bisacodyl,SLD10,Bisacodyl poisoning
Poisoning by castor oil,SLD11,Castor oil poisoning
Poisoning by phenolphthalein,SLD12,Phenolphthalein poisoning
Poisoning by emollient cathartic,SLD2.,Emollient cathartic poisoning
Docusate poisoning,SLD20,Dioctyl sulphosuccinate poisoning
Lactulose poisoning,SLD3.,Other cathartic poisoning
Laxative poisoning,SLD3.,Other cathartic poisoning
Bulk-forming laxative poisoning,SLD3.,Other cathartic poisoning
Poisoning by magnesium sulphate,SLD30,Magnesium sulphate poisoning
Poisoning by saline and osmotic laxatives,SLD31,Poisoning by saline and osmotic laxatives
Digestant poisoning,SLD4.,Digestant poisoning
Poisoning by pancreatin,SLD40,Pancreatin poisoning
Papain poisoning,SLD41,Papain poisoning
Pepsin poisoning,SLD42,Pepsin poisoning
Loperamide poisoning,SLD5.,Antidiarrhoeal poisoning
Poisoning by antidiarrheal drug,SLD5.,Antidiarrhoeal poisoning
Poisoning by kaolin,SLD50,Kaolin poisoning
Poisoning by pectin,SLD51,Pectin poisoning
Poisoning by emetic,SLD6.,Emetic drug poisoning
Poisoning by water AND/OR mineral metabolism drug,SLE..,"Water, mineral and urate metabolism poisoning"
Mercurial diuretic poisoning,SLE0.,Mercurial diuretic poisoning
Chlormerodrin poisoning,SLE00,Chlormerodrin poisoning
Mercaptomerin poisoning,SLE01,Mercaptomerin poisoning
Mersalyl poisoning,SLE02,Mersalyl poisoning
Purine diuretic poisoning,SLE1.,Purine diuretic poisoning
Poisoning by theobromine,SLE10,Theobromine poisoning
Cacao poisoning,SLE10,Theobromine poisoning
Poisoning by theophylline,SLE11,Theophylline poisoning
Poisoning by carbonic acid anhydrase inhibitor,SLE2.,Carbonic acid anhydrase inhibitor poisoning
Poisoning by acetazolamide,SLE20,Acetazolamide poisoning
Poisoning by saluretic,SLE3.,Saluretic poisoning
Poisoning caused by benzothiadiazine,SLE30,Benzothiazide poisoning
Poisoning by chlorothiazide,SLE31,Chlorothiazide poisoning
Osmotic diuretic poisoning,SLE4.,Other diuretic poisoning
Potassium sparing diuretic poisoning,SLE4.,Other diuretic poisoning
Loop diuretic poisoning,SLE4.,Other diuretic poisoning
Thiazide diuretic poisoning,SLE4.,Other diuretic poisoning
Poisoning by diuretic,SLE4.,Other diuretic poisoning
Ethacrynic acid poisoning,SLE40,Ethacrynic acid poisoning
Furosemide poisoning,SLE41,Frusemide poisoning
Electrolyte agent poisoning,SLE5.,Electrolyte agent poisoning
Poisoning by uric acid metabolism drug,SLE7.,Uric acid drug poisoning
Poisoning by allopurinol,SLE70,Allopurinol poisoning
Poisoning by colchicine,SLE71,Colchicine poisoning
Poisoning by probenecid,SLE72,Probenecid poisoning
Muscle and respiratory system drug poisoning,SLF..,Muscle and respiratory system drug poisoning
Poisoning by oxytocic agent,SLF0.,Oxytocic agent poisoning
Aspergillus versicolor toxicosis,SLF00,Ergot alkaloid poisoning
Poisoning by ergot alkaloid,SLF00,Ergot alkaloid poisoning
Poisoning by oxytocin,SLF01,Oxytocin poisoning
Poisoning by prostaglandin,SLF02,Prostaglandin poisoning
Smooth muscle relaxant poisoning,SLF1.,Smooth muscle relaxant poisoning
Adiphenine poisoning,SLF10,Adiphenine poisoning
Poisoning by metaproterenol,SLF11,Orciprenaline poisoning
Poisoning by chlorphenesin carbamate,SLF2.,Skeletal muscle relaxant poisoning
Poisoning by skeletal muscle relaxant,SLF2.,Skeletal muscle relaxant poisoning
Poisoning due to drug groups primarily affecting the musculoskeletal system,SLF3.,Other muscle drug poisoning
Poisoning by antitussive,SLF4.,Antitussive poisoning
Poisoning by dextromethorphan,SLF40,Dextromethorphan poisoning
Pipazethate poisoning,SLF41,Pipazethate poisoning
Poisoning by expectorant,SLF5.,Expectorant poisoning
Poisoning by acetylcysteine,SLF50,Acetylcysteine poisoning
Guaifenesin poisoning,SLF51,Guaifenesin poisoning
Poisoning by terpin hydrate,SLF52,Terpin hydrate poisoning
Poisoning by anti-common cold drug,SLF6.,Anti-common cold drug poisoning
Poisoning by antiasthmatic,SLF7.,Antiasthmatic poisoning
Poisoning by aminophylline,SLF70,Aminophylline poisoning
Respiratory stimulant poisoning,SLFy.,Other respiratory system drug poisoning
Poisoning by drug acting on respiratory system,SLFy.,Other respiratory system drug poisoning
"Eye, otorhinolaryngological, skin and dental drug poisoning",SLG..,"Eye, otorhinolaryngological, skin and dental drug poisoning"
Local anti-infective and anti-inflammatory poisoning,SLG0.,Local anti-infective and anti-inflammatory poisoning
Poisoning by local antipruritic,SLG1.,Local antipruritic poisoning
Local astringent and detergent poisoning,SLG2.,Local astringent and detergent poisoning
Poisoning by demulcent,SLG3.,"Emollients, demulcents and protectant poisoning"
"Emollients, demulcents and protectant poisoning",SLG3.,"Emollients, demulcents and protectant poisoning"
Poisoning by protectant,SLG3.,"Emollients, demulcents and protectant poisoning"
Poisoning by hair treatment drug AND/OR preparation,SLG4.,Hair treatment poisoning
Poisoning by keratoplastic drug,SLG4.,Hair treatment poisoning
Accidental poisoning by ophthalmological drug,SLG5.,Eye drug poisoning NEC
Poisoning by idoxuridine,SLG50,Idoxuridine poisoning
Topical dental drug poisoning,SLG7.,Topical dental drug poisoning
Poisoning by keratolytic agent,SLGx.,Other skin and mucous membrane drug poisoning
Poisoning by skin AND/OR mucous membrane drug,SLGx.,Other skin and mucous membrane drug poisoning
Poisoning by local astringent,SLGx.,Other skin and mucous membrane drug poisoning
Poisoning by spermicide,SLGx0,Spermicide poisoning
Poisoning by drug AND/OR medicinal substance,SLH..,Other and unspecified drug and medicament poisoning
Dietetic poisoning,SLH0.,Dietetic poisoning
Poisoning by central appetite depressant,SLH00,Central appetite depressant poisoning
Lipotropic drug poisoning,SLH1.,Lipotropic drug poisoning
Chelating agent poisoning,SLH2.,Antidotes and chelating agent poisoning NEC
Poisoning by antidote AND/OR chelating agent,SLH2.,Antidotes and chelating agent poisoning NEC
Poisoning by alcohol deterrent,SLH3.,Alcohol deterrent poisoning
Pharmaceutical excipient poisoning,SLH4.,Pharmaceutical excipient poisoning
X-ray contrast media poisoning,SLHy0,X-ray diagnostic contrast media poisoning
Diagnostic dye poisoning,SLHy1,"Diagnostic agent NEC, poisoning"
Contrast media poisoning,SLHy1,"Diagnostic agent NEC, poisoning"
Diagnostic agent poisoning,SLHy1,"Diagnostic agent NEC, poisoning"
Magnetic resonance imaging contrast media poisoning,SLHy1,"Diagnostic agent NEC, poisoning"
Poisoning by mixed bacterial vaccine except combinations with a pertussis component,SLJx.,"Mixed bacterial vaccine poisoning, excluding pertussis"
Poisoning by vaccine AND/OR biological substance,SLK..,Other vaccines and biological substance poisoning
"Mixed vaccine poisoning, excluding pertussis",SLK7.,"Mixed vaccine poisoning, excluding pertussis"
Toxic effect of chiefly nonmedicinal substance,SM...,Nonmedicinal agent causing toxic effects
Adverse reaction to inorganic chemical,SM...,Nonmedicinal agent causing toxic effects
Toxic effect of alcohol,SM0..,Alcohol causing toxic effect
Ethylene glycol poisoning,SM0..,Alcohol causing toxic effect
Toxic effect of ethyl alcohol,SM00.,Ethyl alcohol causing toxic effect
Toxic effect of denatured alcohol,SM001,Denatured alcohol causing toxic effect
Grain alcohol causing toxic effect,SM002,Grain alcohol causing toxic effect
Methyl alcohol causing toxic effect,SM01.,Methyl alcohol causing toxic effect
Toxic effect of isopropyl alcohol,SM02.,Isopropyl alcohol causing toxic effect
Toxic effect of fusel oil,SM03.,Fusel oil causing toxic effect
Toxic effect of amyl alcohol,SM030,Amyl alcohol causing toxic effect
Toxic effect of butyl alcohol,SM031,Butyl alcohol causing toxic effect
Toxic effect of propyl alcohol,SM032,Propyl alcohol causing toxic effect
Toxic effect of petroleum product,SM1..,Petroleum product causing toxic effect
Toxic effect of gasoline,SM10.,Petrol unspecified causing toxic effect
Toxic effect of kerosene,SM12.,Kerosene causing toxic effect
Toxic effect of paraffin wax,SM13.,Paraffin wax causing toxic effect
Toxic effect of petroleum ether,SM14.,Petroleum ether causing toxic effect
Toxic effect of homologues of benzene,SM15.,Toxic effect of homologues of benzene
Solvents -toxic effects,SM2..,Other solvents causing toxic effect
Paint thinner causing toxic effect,SM2..,Other solvents causing toxic effect
Toxic effect of carbon tetrachloride,SM21.,Carbon tetrachloride causing toxic effect
Toxic effect of carbon disulphide,SM22.,Carbon disulphide causing toxic effect
Toxic effect of chlorinated hydrocarbon solvent,SM23.,Other chlorinated hydrocarbon solvent causing toxic effect
